hash;problem;result;/raid/iser/log-glucose4/;/raid/iser/log-candy-halloween;/raid/iser/log-candy-halloween-lrb;/raid/iser/log-candy-deepfish;/raid/iser/log-candy-deepfish-lrb;/raid/iser/log-candy-jesus;/raid/iser/log-candy-buddha;/raid/iser/log-candy-buddha-no-sort-watches;/raid/iser/log-candy-adam;/raid/iser/log-candy-eva;/raid/iser/log-candy-eva-ts-ca;/raid/iser/log-candy-eva-ts-ca-pr;/raid/iser/log-candy-cain;/raid/iser/log-candy-cain-ts-ca;/raid/iser/log-horde-c2;/raid/iser/log-horde-c2-d0-e1
4fc6c3a02e1bfb1d262dcd680a9f5fb0;le450_15b.col.15.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
a4f363a93475aff067bac5d4ba8c9da5;full-cy-caa.rules.7-7.cnf;SAT;154;265;5000;234;5000;251;423;361;403;414;333;1775;482;380;268;-1
454e25bae04f69d6c0db3563729f46f0;Nb54T6.cnf;UNSAT;4879;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
c625a864df79cd10dc2d329198a30b15;ae_rphp095_04.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
d5a3f304b574429a5d9ff6862e653e39;T98.2.0.cnf;UNSAT;927;4649;5000;3761;5000;3782;3594;3786;3690;3571;3915;1584;3647;4047;1744;-1
e29b7bb4c99b0ae686c9d4040cf594c7;bz-X-4-7-6.cnf;SAT;5000;5000;5000;5000;5000;5000;2422;5000;2397;3463;347;5000;3364;394;5000;-1
7bf56343c9705cc91accf92bb09d7377;gto_p50c314_1.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
bbe6a8622793348163294e9d3c544416;T117.2.0.cnf;UNSAT;765;4078;5000;3169;5000;3434;3469;3185;3515;3082;3307;1107;2997;3708;1346;-1
d8d963611db5a83b1d743963f5349d5e;pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf;UNSAT;648;2308;5000;2072;5000;2461;2083;2011;2055;2344;1820;1931;2362;1975;1076;-1
611df3df33b5b120d7e302db98d7ef52;sted5_0x24204-60.cnf;UNKNOWN;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;-1
